day;occupation;power
0.250000000000000;3;0.222014890000000
0.250000000000000;3;0.336018110000000
0.250000000000000;3;0.304551060000000
0.250000000000000;3;0.373868000000000
0.250000000000000;3;0.910762670000000
0.250000000000000;3;0.335619780000000
0.250000000000000;3;0.366534440000000
0.250000000000000;3;0.473275890000000
0.250000000000000;3;0.342984330000000
0.250000000000000;3;0.938024970000000
0.250000000000000;3;0.306721470000000
0.250000000000000;3;1.55672630000000
0.250000000000000;3;1.97667590000000
0.250000000000000;3;1.83208680000000
0.250000000000000;3;1.72032090000000
0.250000000000000;3;1.39743620000000
0.250000000000000;3;1.37901630000000
0.250000000000000;3;1.44427170000000
0.250000000000000;3;2.01373580000000
0.250000000000000;3;1.59984340000000
0.250000000000000;3;1.66569690000000
0.250000000000000;3;2.21188870000000
0.250000000000000;3;1.73927480000000
0.250000000000000;3;1.86184450000000
0.250000000000000;3;2.63126870000000
0.250000000000000;3;1.84088410000000
0.250000000000000;3;2.14732900000000
0.250000000000000;3;1.58231300000000
0.250000000000000;3;2.45841430000000
0.250000000000000;3;1.93178200000000
0.250000000000000;3;3.00974220000000
0.250000000000000;3;2.98401940000000
0.250000000000000;3;4.11311510000000
0.250000000000000;3;3.39604770000000
0.250000000000000;3;3.07218880000000
0.250000000000000;3;4.36926550000000
0.250000000000000;3;3.83316240000000
0.250000000000000;3;1.06369100000000
0.250000000000000;3;2.10200630000000
0.250000000000000;3;1.93627600000000
0.250000000000000;3;2.67361000000000
0.250000000000000;3;2.26647090000000
0.250000000000000;3;3.40905670000000
0.250000000000000;3;2.70580300000000
0.250000000000000;3;2.94665080000000
0.250000000000000;3;2.86788980000000
0.250000000000000;3;2.62290700000000
0.250000000000000;3;3.23064020000000
0.250000000000000;3;2.62756770000000
0.250000000000000;3;2.52781610000000
0.250000000000000;3;3.20136600000000
0.250000000000000;3;2.51212900000000
0.250000000000000;3;2.54942260000000
0.250000000000000;3;3.23154310000000
0.250000000000000;3;2.46866900000000
0.250000000000000;3;2.57799690000000
0.250000000000000;3;3.12640920000000
0.250000000000000;3;2.48444510000000
0.250000000000000;3;2.01655630000000
0.250000000000000;3;3.13009120000000
0.250000000000000;3;3.25203380000000
0.250000000000000;3;3.07881000000000
0.250000000000000;3;3.08863640000000
0.250000000000000;3;2.11461090000000
